"","pac_name_affiliate","country","parent","total","dems","repubs","year"
"1578","Genentech Inc (Roche Holdings)","Switzerland","Roche Holdings",383500,171000,212500,2016
"1579","General Cigar Co","Sweden","Scandinavian Tobacco Group",16000,1000,15000,2016
"1580","Gerdau Ameristeel Corp","Brazil","Gerdau Inc",31500,16500,15000,2016
"1581","GKN Corp","UK","GKN PLC",9500,5500,4000,2016
"1582","Glanbia Foods (Glanbia PLC)","Ireland","Glanbia PLC",850,0,850,2016
"1583","GlaxoSmithKline","UK","GlaxoSmithKline",431000,181000,250000,2016
"1584","Glover Park Group (WPP Group)","UK","WPP Group",128750,82000,46750,2016
"1585","Grand Trunk Western-Illinois Central RR","Canada","Canadian National Railway",44000,13250,30750,2016
"1586","Great-West Life & Annuity Insurance (Power Financial Corp)","Canada","Power Financial Corp",8000,6000,2000,2016
"1587","Greyhound Lines","UK","FirstGroup PLC",14000,2500,11500,2016
"1588","Heineken USA","Netherlands","L'Arche Green NV",50000,27500,22500,2016
"1589","Herbalife International","UK","Herbalife Ltd",60100,30500,29600,2016
"1590","Hoffmann-La Roche (Roche Holdings)","Switzerland","Roche Holdings",12500,4000,8500,2016
"1591","Holcim US (LafargeHolcim)","Switzerland","LaFargeHolcim",74750,19500,55250,2016
"1592","Horizon Pharma USA","Ireland","Horizon Pharma PLC",17200,6400,10800,2016
"1593","HSBC North America","UK","HSBC Holdings",254500,98000,156500,2016
"1594","ICAP North America","UK","TP ICAP plc plc",22500,5000,17500,2016
"1595","Infineon Technologies","Germany","Infineon Technologies AG",1500,500,1000,2016
"1596","Ingersoll-Rand","Ireland","Ingersoll Rand Co",34500,6000,28500,2016
"1597","Intelsat Holdings (Serafina SA)","Luxembourg","Serafina SA",73000,25500,47500,2016
"1598","Intergraph Corp","Sweden","Hexagon AB",0,0,0,2016
"1599","International Game Technology (B&D Holding Di Marco Drago e C Sapa)","Italy","B&D Holding Di Marco Drago e C Sapa",15000,8000,7000,2016
"1600","International Game Technology (B&D Holding Di Marco Drago e C Sapa)","Italy","B&D Holding Di Marco Drago e C Sapa",78450,30500,47950,2016
"1601","ITG Brands (Imperial Brands)","UK","Imperial Brands",107500,16000,91500,2016
"1602","Jackson National Life Insurance","UK","Prudential PLC",196500,42500,154000,2016
"1603","JBS USA","Brazil","JBS SA",68500,7000,61500,2016
"1604","Jeld-Wen Inc (Onex Corp)","Canada","Onex Corp",2600,0,2600,2016
"1605","John Hancock Life Insurance","Canada","Manulife Financial",97000,52000,45000,2016
"1606","Johnson Controls (Johnson Controls International)","Ireland","Johnson Controls International",343500,100750,242750,2016
"1607","Johnson Controls (Johnson Controls International)","Ireland","Johnson Controls International",21500,10500,11000,2016
"1608","Kawasaki Heavy Industries","Japan","Kawasaki Heavy Industries",0,0,0,2016
"1609","Keystone Foods","Brazil","Marfrig Global Foods",0,0,0,2016
"1610","LafargeHolcim (LafargeHolcim)","France","Lafarge SA",11000,2500,8500,2016
"1611","Lehigh Hanson","Germany","HeidelbergCement AG",125500,12000,113500,2016
"1612","Leonardo DRS","Italy","Leonardo-Finmeccanica",233000,70500,162500,2016
"1613","Linde North America","Germany","Linde AG",54000,19500,34500,2016
"1614","Livanova Inc","UK","Livanova plc",11000,2000,9000,2016
"1615","Louis Dreyfus Co","Netherlands","Louis Dreyfus Group",37400,6000,31400,2016
"1616","Lundbeck Inc","Denmark","H Lundbeck A/S",51000,17500,33500,2016
"1617","LyondellBasell Industries","Netherlands","LyondellBasell Industries",117500,29500,88000,2016
"1618","M-E Companies","Canada","IBI Group",0,0,0,2016
"1619","Maersk Inc (AP Moller-Maersk)","Denmark","AP Moller-Maersk",61500,20000,41500,2016
"1620","Magna US","Canada","Magna International",2000,2000,0,2016
"1621","Mallinckrodt Pharmaceuticals","UK","Mallinckrodt Plc",101500,24000,77500,2016
"1622","Massachusetts Financial Services (Sun Life Financial)","Canada","Sun Life Financial Services",22500,8000,14500,2016
"1623","MBDA Inc","UK","MBDA",9500,0,9500,2016
"1624","Medimmune Inc (AstraZeneca PLC)","UK","AstraZeneca PLC",0,0,0,2016
"1625","Medtronic Inc (Medtronic Inc)","Ireland","Medtronic Plc",366500,161500,205000,2016
"1626","MillerCoors LLC (Molson Coors Brewing)","Canada","Molson Coors Brewing",166500,59500,107000,2016
"1627","Miraca Life Sciences","Japan","Miraca Holdings",13500,5000,8500,2016
"1628","Mitsubishi Hitachi Power Systems","Japan","Mitsubishi Hitachi Power Systems",14900,0,14900,2016
"1629","Morpho Detection (Safran Identity & Security)","France","Safran Identity & Security",14500,5500,9000,2016
"1630","MorphoTrust USA (Safran Identity & Security)","France","Safran Identity & Security",30689,6689,24000,2016
"1631","MUFG Americas","Japan","Mitsubishi UFJ Financial Group",9500,6000,3500,2016
"1632","Munich American Reassurance","Germany","Munich Re Group",0,0,0,2016
"1633","Mylan Inc","Netherlands","Mylan NV",68000,23000,45000,2016
"1634","Nammo Talley Inc","Norway","Nammo AS",9250,4250,5000,2016
"1635","National Cement Co","France","Vicat Group",5400,0,5400,2016
"1636","National Grid USA (National Grid plc)","UK","National Grid plc",75500,50500,25000,2016
"1637","Natixis Global Asset Management","France","Groupe BPCE",14500,4500,10000,2016
"1638","Nestle Purina PetCare (Nestle SA)","Switzerland","Nestle SA",26000,5000,21000,2016
"1639","Nestle Waters North America (Nestle SA)","Switzerland","Nestle",22746,10246,11500,2016
"1640","Nokia Solutions & Networks (Nokia Inc)","Finland","Nokia",34200,9500,24700,2016
"1641","Nomura Holding America","Japan","Nomura Holdings",108500,43500,65000,2016
"1642","Novartis Corp (Novartis AG)","Switzerland","Novartis AG",272750,137500,135250,2016
"1643","Novo Nordisk","Denmark","Novo Nordisk A/S",458351,194852,262499,2016
"1644","Novocure Inc","UK","Novocure",29600,0,29600,2016
"1645","Oldcastle Materials","Ireland","CRH PLC",352230,130280,221950,2016
"1646","Otsuka America (Otsuka Pharmaceutical)","Japan","Otsuka Pharmaceutical",33000,18000,15000,2016
"1647","Patheon Pharmaceuticals","Netherlands","Patheon NV",2500,0,2500,2016
"1648","Permobil Inc (Investor AB)","Sweden","Investor AB",13250,2500,10750,2016
"1649","Pernod Ricard USA","France","Pernod Ricard SA",4500,2500,2000,2016
"1650","Peter Pan Seafoods","Japan","Maruha Nichiro Holdings",1250,750,500,2016
"1651","Pharmavite LLC (Otsuka Pharmaceutical)","Japan","Otsuka Pharmaceutical",72093,35000,37093,2016
"1652","Philips Electronics North America (Philips)","Netherlands","Philips",64500,18500,46000,2016
"1653","PotashCorp","Canada","Potash Corporation of Saskatchewan",17500,1500,16000,2016
"1654","Prime Policy Group (WPP Group)","UK","WPP Group",52000,17000,35000,2016
"1655","Private Bank Inc","Canada","Canadian Imperial Bank of Commerce",2000,0,2000,2016
"1656","Protective Life Corp (Dai-Ichi Life)","Japan","Dai-Ichi Life",47900,6000,41900,2016
"1657","Putnam Investments (Power Financial Corp)","Canada","Power Financial Corp",23030,7000,16030,2016
"1658","RBC Bank (Royal Bank of Canada)","Canada","Royal Bank of Canada",51800,27100,24700,2016
"1659","RELX Inc","UK","RELX Group",213117,96657,116460,2016
"1660","Renewable Energy Systems Americas","UK","Renewable Energy Systems",14400,10400,4000,2016
"1661","Res-Care Inc (Onex Corp)","Canada","Onex Corp",14950,3000,11950,2016
"1662","Resolute FP US","Canada","Resolute Forest Products",69000,16000,53000,2016
"1663","Rio Tinto America","UK","Rio Tinto Group",18000,3500,14500,2016
"1664","Roho Group (Investor AB)","Sweden","Investor AB",8250,5250,3000,2016
"1665","Rolls-Royce North America (Rolls-Royce PLC)","UK","Rolls-Royce PLC",245825,65000,180825,2016
"1666","Royal Ten Cate USA","Netherlands","Koninklijke Ten Cate",39381,7881,31500,2016
"1667","Safelite Group","Belgium","D'Ieteren SA",4000,0,4000,2016
"1668","Samsung Electronics America","South Korea","Samsung Group",0,0,0,2016
"1669","Sanofi Genzyme (Sanofi)","France","Sanofi",42500,35500,7000,2016
"1670","Sanofi US (Sanofi)","France","Sanofi",566475,174000,392475,2016
"1671","Sanofi-Pasteur Inc (Sanofi)","France","Sanofi",87500,23000,64500,2016
"1672","Santander Bank (Banco Santander)","Spain","Banco Santander",0,0,0,2016
"1673","SAP America","Germany","SAP SE",125700,77500,48200,2016
"1674","Securitas Security Services USA","Sweden","Securitas AB",23500,0,23500,2016
"1675","Serco Inc","UK","Serco Group",60000,25000,35000,2016
"1676","Shell Oil","Netherlands","Royal Dutch Shell",88500,15000,73500,2016
"1677","Shire Holdings US (Shire PLC)","Ireland","Shire Plc",27250,12250,15000,2016
"1678","Shire Regenerative Medicine (Shire Plc)","UK","Shire Plc",0,0,0,2016
"1679","Siemens Corp","Germany","Siemens AG",250430,69180,181250,2016
"1680","Smith & Nephew","UK","Smith & Nephew Plc",64000,21000,43000,2016
"1681","Smithfield Foods","China","WH Group",93650,35650,58000,2016
"1682","Smiths Group Services Corp","UK","Smiths Group PLC",145200,51000,94200,2016
"1683","Sodexo Inc","France","Sodexo",4500,1500,3000,2016
"1684","Solvay America (Solvay SA)","Belgium","Solvay SA",58400,29000,29400,2016
"1685","Sony Pictures Entertainment (Sony Corp)","Japan","Sony Corp",198000,105000,93000,2016
"1686","Space Systems/Loral","Canada","MacDonald, Dettwiler & Assoc",3500,0,3500,2016
"1687","Sprint Communications (SoftBank Corp)","Japan","Softbank Corp",250000,107000,142000,2016
"1688","SSAB Americas","Sweden","SSAB AB",25500,7000,18500,2016
"1689","Standard Insurance Co","Japan","Meiji Yasuda Life Insurance",9000,4000,5000,2016
"1690","Steris Corp","UK","Steris PLC",59150,17250,41900,2016
"1691","SUEZ Water","France","SUEZ Environnement",28600,11000,17600,2016
"1692","Sunovion Pharmaceuticals","Japan","Sumitomo Chemical",64000,27500,36500,2016
"1693","Sunpower Corp","France","Total SA",19400,13700,5700,2016
"1694","Swedish Match North America (Swedish Match AB)","Sweden","Swedish Match AB",39000,5500,33500,2016
"1695","Swiss Re America","Switzerland","Swiss Reinsurance",71500,32000,39500,2016
"1696","Syngenta Corp","Switzerland","Syngenta AG",287200,87000,200200,2016
"1697","T-Mobile USA","Germany","Deutsche Telekom AG",432250,206250,223000,2016
"1698","Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan","Takeda Pharmaceutical Co",86500,57500,29000,2016
"1699","Tate & Lyle Americas (Tate & Lyle)","UK","Tate & Lyle",23000,4500,18500,2016
"1700","TD Bank USA","Canada","Toronto-Dominion Bank",109250,47500,61750,2016
"1701","TE Connectivity","Switzerland","TE Connectivity",120700,37000,83700,2016
"1702","TECO Energy","Canada","Emera Inc",45500,4500,41000,2016
"1703","Terumo BCT","Japan","Terumo Corp",0,0,0,2016
"1704","Teva Pharmaceuticals USA","Israel","Teva Pharmaceutical Industries",179500,82500,97000,2016
"1705","Toyota Motor North America","Japan","Toyota Motor Corp",598500,277000,321500,2016
"1706","TracFone Wireless","Mexico","America Movil",17000,8000,9000,2016
"1707","TransAmerica","Netherlands","Aegon NV",360500,154000,206500,2016
"1708","Transcanada USA Services (Transcanada Corp)","Canada","TransCanada Corp",7000,2000,5000,2016
"1709","Travelport Inc","UK","Travelport Ltd",1000,0,1000,2016
"1710","Tronox Limited Alkali","Australia","Tronox Inc",16000,10000,6000,2016
"1711","UBS Americas","Switzerland","UBS AG",1445490,676240,769250,2016
"1712","UCB Inc (UCB SA)","Belgium","UCB SA",9000,3000,6000,2016
"1713","Ultra Electronics USA","UK","Ultra Electronics",24500,0,24500,2016
"1714","United Illuminating (Iberdrola SA)","Spain","Iberdrola SA",4000,500,3500,2016
"1715","Universal Music Group (Vivendi)","France","Vivendi",98500,45500,53000,2016
"1716","VT Halter Marine","Singapore","ST Engineering",4500,0,4500,2016
"1717","Weatherford US","UK","Weatherford International",0,0,0,2016
"1718","Westfield Corp","Australia","Westfield Group of Australia",15035,10035,5000,2016
"1719","Westinghouse Electric","Japan","Toshiba Corp",117700,26000,91700,2016
"1720","Wexler & Walker Public Policy Assoc (WPP Group)","UK","WPP Group",42750,11000,31750,2016
"1721","Willis North America","UK","Willis Towers Watson",6500,0,6500,2016
"1722","WSP Parsons Brinckerhoff","Canada","WSP Global",141950,78950,63000,2016
"1723","XL America","Ireland","XL Group PLC",0,0,0,2016
"1724","ZF TRW Automotive (ZF Friedrichshafen AG)","Germany","ZF Friedrichshafen AG",53000,17000,36000,2016
"1725","Zurich Insurance (Zurich Insurance Group)","Switzerland","Zurich Insurance Group",138500,54500,84000,2016
"1726","7-Eleven","Japan","Seven & I Holdings",5500,1000,4500,2018
"1727","ABB Group (ABB Group)","Switzerland","Asea Brown Boveri",10500,4000,6500,2018
"1728","Accenture (Accenture)","Ireland","Accenture plc",177000,80500,96500,2018
"1729","Advance America Cash Advance Centers (Grupo Salinas)","Mexico","Grupo Salinas",89000,9000,80000,2018
"1730","Air Liquide America","France","L'Air Liquide SA",49512,7000,42512,2018
"1731","Airbus Group","Netherlands","Airbus Group",191500,65500,126000,2018
"1732","Alkermes Inc","Ireland","Alkermes Plc",165000,65500,99500,2018
"1733","Allergan Inc (Allergan PLC)","Ireland","Allergan PLC",157500,26000,131500,2018
"1734","Allianz of America (Allianz)","Germany","Allianz AG Holding",89750,29950,59800,2018
"1735","AMG Vanadium","Netherlands","AMG Advanced Metallurgical Group",2000,0,2000,2018
"1736","Anheuser-Busch (Anheuser-Busch InBev)","Belgium","Anheuser-Busch InBev",495000,241000,254000,2018
"1737","AON Corp (AON plc)","UK","AON PLC",112200,39500,72700,2018
"1738","APL Ltd (CMA CGM)","France","CMA CGM SA",7500,2000,5500,2018
"1739","APL Maritime (CMA CGM)","France","CMA CGM SA",12500,6000,5500,2018
"1740","Aptiv PLC","Ireland","Aptiv PLC",5000,2000,3000,2018
"1741","Arcadis US (Arcadis NV)","Netherlands","Arcadis NV",250,250,0,2018
"1742","ArcelorMittal USA","Luxembourg","ArcelorMittal",54500,25500,29000,2018
"1743","Arch Capital Group (US)","UK","Arch Capital Group",11500,4000,7500,2018
"1744","Arkema Inc","France","Arkema",58500,26000,32500,2018
"1745","Ash Grove (CRH Plc)","Ireland","CRH PLC",44500,0,44500,2018
"1746","Ashta Chemicals","Mexico","Bigshire Mexico",0,0,0,2018
"1747","Ashton Woods Homes","Canada","Great Gulf Group",2500,0,2500,2018
"1748","Assured Guaranty Municipal Corp (Assured Guaranty Corp)","UK","Assured Guaranty Ltd",2700,0,2700,2018
"1749","Astellas US","Japan","Astellas Pharma",185700,75000,110700,2018
"1750","AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK","AstraZeneca PLC",358500,136500,222000,2018
"1751","Atkins North America","UK","SNC-Lavalin",9000,0,9000,2018
"1752","Austal USA (Austal Ltd)","Australia","Austal Ltd",45600,11100,34500,2018
"1753","Avangrid Inc (Iberdrola SA)","Spain","Iberdrola SA",109500,65000,41000,2018
"1754","AXA Equitable Life Insurance (AXA)","France","AXA",119500,38500,81000,2018
"1755","Bacardi USA","UK","Bacardi Ltd",46000,20500,24500,2018
"1756","BAE Systems (BAE Systems)","UK","BAE Systems",611500,229000,378500,2018
"1757","Barclays Group US","UK","Barclays plc",208238,80500,124738,2018
"1758","Barrick Goldstrike Mines","Canada","Barrick Gold Corp",63000,31000,32000,2018
"1759","BASF Corp","Germany","BASF SE",638875,301625,337250,2018
"1760","Bayer Corp (Bayer AG)","Germany","Bayer AG",278000,86500,191500,2018
"1761","BBVA Compass","Spain","Banco Bilbao Vizcaya Argentaria",250500,69500,181000,2018
"1762","Beam Suntory (Suntory Holdings)","Japan","Suntory Holdings",29070,4000,25070,2018
"1763","BMO Financial Corp (Bank of Montreal)","Canada","Bank of Montreal",0,0,0,2018
"1764","BMO Financial Corp (Bank of Montreal)","Canada","Bank of Montreal",106984,42500,64484,2018
"1765","BMO Harris Bank (Bank of Montreal)","Canada","Bank of Montreal",61765,38460,23305,2018
"1766","Boehringer Ingelheim Corp","Germany","CH Boehringer Sohn",123500,61500,62000,2018
"1767","Bombardier Transportation USA (Bombardier Inc)","Canada","Bombardier Inc",40500,20500,20000,2018
"1768","BP North America","UK","BP PLC",348500,117000,231500,2018
"1769","Bridgestone Americas","Japan","Bridgestone Corp",28000,6000,22000,2018
"1770","Brightspring Health Services (Onex Corp)","Canada","Onex Corp",9950,2700,7250,2018
"1771","Bumble Bee Foods","UK","Lion Capital",8000,2000,6000,2018
"1772","Buzzi Unicem USA (Buzzi Unicem SpA)","Italy","Buzzi Unicem SpA",0,0,0,2018
"1773","CalPortland Co","Japan","Taiheiyo Cement Co",103500,6000,97500,2018
"1774","Cardtronics Inc","UK","Cardtronics Plc",2500,0,2500,2018
"1775","Carmeuse Lime","Netherlands","Carmeuse SA",0,0,0,2018
"1776","Case New Holland","Netherlands","CNH Industrial",92000,8000,84000,2018
"1777","CEMEX Inc","Mexico","CEMEX SAB de CV",279000,47000,232000,2018
"1778","CGI Technologies & Solutions","Canada","CGI Group",44500,20500,24000,2018
"1779","Chicago Bridge & Iron (McDermott International)","Panama","McDermott International",91500,24500,67000,2018
"1780","Chubb Group of Insurance Companies","Switzerland","Chubb Ltd",205000,79000,126000,2018
"1781","CIBC Bancorp","Canada","Canadian Imperial Bank of Commerce",2000,0,2000,2018
"1782","Cirrus Aircraft Corp","China","Aviation Industry Corp of China",6000,2000,4000,2018
"1783","CMOC Mining USA (China Molybdenum Co)","China","China Molybdenum Co",1500,0,1500,2018
"1784","Cobham Management Services","UK","Cobham PLC",176500,57500,119000,2018
"1785","Columbia Pipeline Group (TransCanada Corp)","Canada","TransCanada Corp",500,3500,-3000,2018
"1786","Commonwealth-Altadis (Imperial Brands)","UK","Imperial Tobacco Group",0,0,0,2018
"1787","Continental Automotive Systems (Continental AG)","Germany","Continental AG",122000,47500,74500,2018
"1788","Covestro LLC (Covestro AG)","Germany","Covestro AG",35000,9500,25500,2018
"1789","Credit Suisse Securities","Switzerland","Credit Suisse Group",364000,187500,176500,2018
"1790","CRH Americas (CRH PLC)","Ireland","CRH PLC",468750,149000,319750,2018
"1791","CSL Behring","Australia","CSL Ltd",83500,23000,60500,2018
"1792","Daiichi Sankyo Inc","Japan","Daiichi Sanyko",75500,30000,45500,2018
"1793","Daimler Trucks North America (Daimler AG)","Germany","Daimler AG",4000,2000,2000,2018
"1794","Delhaize America","Belgium","Ahold Delhaize",20750,6250,12000,2018
"1795","Deutsche Bank Securities","Germany","Deutsche Bank AG",16500,5000,11500,2018
